_id,play_type,yards_gained,interception,fumble_lost,rush_attempt,pass_attempt,pass_touchdown,rush_touchdown,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name
ObjectId("5c0c8fed4881fd17b071f6d3"),pass,0,0,0,0,1,0,0,00-0022942,P.Rivers,00-0030279,K.Allen,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d4"),pass,19,0,0,0,1,0,0,00-0022942,P.Rivers,00-0029269,T.Benjamin,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d5"),run,1,0,0,1,0,0,0,NA,NA,NA,NA,00-0032144,M.Gordon
ObjectId("5c0c8fed4881fd17b071f6d6"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d7"),run,11,0,0,1,0,0,0,NA,NA,NA,NA,00-0032144,M.Gordon
ObjectId("5c0c8fed4881fd17b071f6d8"),pass,0,0,0,0,1,0,0,00-0022942,P.Rivers,00-0032144,M.Gordon,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d9"),pass,0,0,1,0,1,0,0,00-0022942,P.Rivers,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6da"),run,11,0,0,1,0,0,0,NA,NA,NA,NA,00-0032782,W.Smallwood
ObjectId("5c0c8fed4881fd17b071f6db"),run,2,0,0,1,0,0,0,NA,NA,NA,NA,00-0027325,L.Blount
ObjectId("5c0c8fed4881fd17b071f6dc"),pass,4,0,0,0,1,0,0,00-0032950,C.Wentz,00-0032782,W.Smallwood,NA,NA
