_id,value
P.Richardson,"{"touchdowns":6,"yards":703,"IsQB":false,"points":106}"
T.Ginn,"{"touchdowns":4,"yards":826,"IsQB":false,"points":106}"
D.Walker,"{"touchdowns":4,"yards":805,"IsQB":false,"points":104}"
R.Matthews,"{"touchdowns":4,"yards":792,"IsQB":false,"points":103}"
T.Riddick,"{"touchdowns":5,"yards":730,"IsQB":false,"points":103}"
A.Abdullah,"{"touchdowns":5,"yards":714,"IsQB":false,"points":101}"
K.Rudolph,"{"touchdowns":8,"yards":532,"IsQB":false,"points":101}"
J.Crowder,"{"touchdowns":3,"yards":823,"IsQB":false,"points":100}"
L.Blount,"{"touchdowns":3,"yards":818,"IsQB":false,"points":99}"
M.Wallace,"{"touchdowns":4,"yards":752,"IsQB":false,"points":99}"
R.Burkhead,"{"touchdowns":8,"yards":518,"IsQB":false,"points":99}"
T.Cohen,"{"touchdowns":4,"yards":747,"IsQB":false,"points":98}"
Ty.Williams,"{"touchdowns":4,"yards":728,"IsQB":false,"points":96}"
C.Brate,"{"touchdowns":6,"yards":591,"IsQB":false,"points":95}"
J.Doyle,"{"touchdowns":4,"yards":690,"IsQB":false,"points":93}"
K.Cole,"{"touchdowns":3,"yards":748,"IsQB":false,"points":92}"
R.Cobb,"{"touchdowns":4,"yards":682,"IsQB":false,"points":92}"
M.Lee,"{"touchdowns":3,"yards":721,"IsQB":false,"points":90}"
S.Perine,"{"touchdowns":2,"yards":785,"IsQB":false,"points":90}"
T.Benjamin,"{"touchdowns":4,"yards":663,"IsQB":false,"points":90}"
D.Johnson,"{"touchdowns":4,"yards":654,"IsQB":false,"points":89}"
D.Jackson,"{"touchdowns":3,"yards":706,"IsQB":false,"points":88}"
K.Benjamin,"{"touchdowns":3,"yards":692,"IsQB":false,"points":87}"
J.Witten,"{"touchdowns":5,"yards":560,"IsQB":false,"points":86}"
C.Beathard,"{"touchdowns":7,"yards":1428,"IsQB":true,"points":85}"
M.Forte,"{"touchdowns":3,"yards":674,"IsQB":false,"points":85}"
S.Shepard,"{"touchdowns":2,"yards":735,"IsQB":false,"points":85}"
W.Fuller V,"{"touchdowns":7,"yards":432,"IsQB":false,"points":85}"
D. Thomas,"{"touchdowns":3,"yards":666,"IsQB":false,"points":84}"
J.Doctson,"{"touchdowns":6,"yards":488,"IsQB":false,"points":84}"
A.Ekeler,"{"touchdowns":5,"yards":539,"IsQB":false,"points":83}"
M.Breida,"{"touchdowns":3,"yards":645,"IsQB":false,"points":82}"
M.Mack,"{"touchdowns":4,"yards":583,"IsQB":false,"points":82}"
T.Kroft,"{"touchdowns":7,"yards":404,"IsQB":false,"points":82}"
V.Davis,"{"touchdowns":3,"yards":648,"IsQB":false,"points":82}"
E.Ebron,"{"touchdowns":4,"yards":574,"IsQB":false,"points":81}"
H.Henry,"{"touchdowns":4,"yards":579,"IsQB":false,"points":81}"
R.Grant,"{"touchdowns":4,"yards":573,"IsQB":false,"points":81}"
C.Clement,"{"touchdowns":6,"yards":446,"IsQB":false,"points":80}"
J.Cook,"{"touchdowns":2,"yards":687,"IsQB":false,"points":80}"
M.Bryant,"{"touchdowns":3,"yards":627,"IsQB":false,"points":80}"
O.Howard,"{"touchdowns":6,"yards":432,"IsQB":false,"points":79}"
D.Amendola,"{"touchdowns":2,"yards":659,"IsQB":false,"points":77}"
B.Watson,"{"touchdowns":4,"yards":522,"IsQB":false,"points":76}"
C.Hogan,"{"touchdowns":5,"yards":456,"IsQB":false,"points":75}"
J.White,"{"touchdowns":3,"yards":573,"IsQB":false,"points":75}"
A.Wilson,"{"touchdowns":3,"yards":560,"IsQB":false,"points":74}"
R.Fitzpatrick,"{"touchdowns":7,"yards":1150,"IsQB":true,"points":74}"
D.Parker,"{"touchdowns":1,"yards":670,"IsQB":false,"points":73}"
R.Smith,"{"touchdowns":5,"yards":434,"IsQB":false,"points":73}"
T.Lockett,"{"touchdowns":2,"yards":613,"IsQB":false,"points":73}"
B.LaFell,"{"touchdowns":3,"yards":548,"IsQB":false,"points":72}"
K.Williams,"{"touchdowns":2,"yards":604,"IsQB":false,"points":72}"
W.Gallman,"{"touchdowns":1,"yards":669,"IsQB":false,"points":72}"
A.Peterson,"{"touchdowns":2,"yards":599,"IsQB":false,"points":71}"
Ja.Brown,"{"touchdowns":4,"yards":477,"IsQB":false,"points":71}"
P.Barber,"{"touchdowns":3,"yards":537,"IsQB":false,"points":71}"
A.Hooper,"{"touchdowns":3,"yards":526,"IsQB":false,"points":70}"
A.Jones,"{"touchdowns":4,"yards":466,"IsQB":false,"points":70}"
T.Savage,"{"touchdowns":5,"yards":1257,"IsQB":true,"points":70}"
A.Humphries,"{"touchdowns":1,"yards":631,"IsQB":false,"points":69}"
M.Gillislee,"{"touchdowns":5,"yards":398,"IsQB":false,"points":69}"
T.Montgomery,"{"touchdowns":4,"yards":446,"IsQB":false,"points":68}"
B.Hoyer,"{"touchdowns":5,"yards":1182,"IsQB":true,"points":67}"
B.Osweiler,"{"touchdowns":6,"yards":1098,"IsQB":true,"points":67}"
C.Clay,"{"touchdowns":2,"yards":558,"IsQB":false,"points":67}"
C.Ivory,"{"touchdowns":2,"yards":556,"IsQB":false,"points":67}"
D.Martin,"{"touchdowns":3,"yards":490,"IsQB":false,"points":67}"
D.Thompson,"{"touchdowns":2,"yards":550,"IsQB":false,"points":67}"
E.Sanders,"{"touchdowns":2,"yards":555,"IsQB":false,"points":67}"
K.Wright,"{"touchdowns":1,"yards":614,"IsQB":false,"points":67}"
J.Richard,"{"touchdowns":2,"yards":541,"IsQB":false,"points":66}"
K.Golladay,"{"touchdowns":3,"yards":486,"IsQB":false,"points":66}"
A.Morris,"{"touchdowns":1,"yards":592,"IsQB":false,"points":65}"
B.Gabbert,"{"touchdowns":6,"yards":1031,"IsQB":true,"points":65}"
D.Thomas,"{"touchdowns":4,"yards":418,"IsQB":false,"points":65}"
D.Booker,"{"touchdowns":1,"yards":574,"IsQB":false,"points":63}"
G.Kittle,"{"touchdowns":2,"yards":515,"IsQB":false,"points":63}"
J.McKissic,"{"touchdowns":3,"yards":453,"IsQB":false,"points":63}"
D.Njoku,"{"touchdowns":4,"yards":387,"IsQB":false,"points":62}"
E.Decker,"{"touchdowns":1,"yards":563,"IsQB":false,"points":62}"
J.Maclin,"{"touchdowns":3,"yards":440,"IsQB":false,"points":62}"
M.Lewis,"{"touchdowns":5,"yards":320,"IsQB":false,"points":62}"
E.McGuire,"{"touchdowns":2,"yards":494,"IsQB":false,"points":61}"
A.Hurns,"{"touchdowns":2,"yards":484,"IsQB":false,"points":60}"
T.Yeldon,"{"touchdowns":2,"yards":477,"IsQB":false,"points":59}"
C.Godwin,"{"touchdowns":1,"yards":525,"IsQB":false,"points":58}"
D.Stanton,"{"touchdowns":6,"yards":862,"IsQB":true,"points":58}"
D.Washington,"{"touchdowns":3,"yards":408,"IsQB":false,"points":58}"
T.Williams,"{"touchdowns":0,"yards":583,"IsQB":false,"points":58}"
G.Celek,"{"touchdowns":4,"yards":336,"IsQB":false,"points":57}"
D.Cook,"{"touchdowns":2,"yards":444,"IsQB":false,"points":56}"
D.Johnson Jr.,"{"touchdowns":3,"yards":387,"IsQB":false,"points":56}"
J.Thomas,"{"touchdowns":3,"yards":388,"IsQB":false,"points":56}"
C.Beasley,"{"touchdowns":4,"yards":314,"IsQB":false,"points":55}"
J.James,"{"touchdowns":3,"yards":372,"IsQB":false,"points":55}"
B.Coleman,"{"touchdowns":3,"yards":368,"IsQB":false,"points":54}"
C.Patterson,"{"touchdowns":2,"yards":426,"IsQB":false,"points":54}"
T.Burton,"{"touchdowns":5,"yards":248,"IsQB":false,"points":54}"
T.Smith,"{"touchdowns":2,"yards":427,"IsQB":false,"points":54}"
B.Fowler,"{"touchdowns":3,"yards":350,"IsQB":false,"points":53}"
D.Foreman,"{"touchdowns":2,"yards":410,"IsQB":false,"points":53}"
R.Lewis,"{"touchdowns":2,"yards":416,"IsQB":false,"points":53}"
A.Seferian-Jenkins,"{"touchdowns":3,"yards":349,"IsQB":false,"points":52}"
B.Butler,"{"touchdowns":3,"yards":337,"IsQB":false,"points":51}"
D.Moncrief,"{"touchdowns":2,"yards":391,"IsQB":false,"points":51}"
S.Roberts,"{"touchdowns":1,"yards":455,"IsQB":false,"points":51}"
P.Garcon,"{"touchdowns":0,"yards":500,"IsQB":false,"points":50}"
A.Gates,"{"touchdowns":3,"yards":316,"IsQB":false,"points":49}"
E.Dickson,"{"touchdowns":1,"yards":437,"IsQB":false,"points":49}"
O.Beckham,"{"touchdowns":3,"yards":310,"IsQB":false,"points":49}"
J.Brown,"{"touchdowns":3,"yards":309,"IsQB":false,"points":48}"
J.Charles,"{"touchdowns":1,"yards":425,"IsQB":false,"points":48}"
T.Gabriel,"{"touchdowns":1,"yards":427,"IsQB":false,"points":48}"
A.Ellington,"{"touchdowns":1,"yards":414,"IsQB":false,"points":47}"
M.Moore,"{"touchdowns":4,"yards":775,"IsQB":true,"points":47}"
T.Jones,"{"touchdowns":1,"yards":412,"IsQB":false,"points":47}"
B.Ellington,"{"touchdowns":2,"yards":347,"IsQB":false,"points":46}"
C.West,"{"touchdowns":4,"yards":222,"IsQB":false,"points":46}"
M.Glennon,"{"touchdowns":4,"yards":759,"IsQB":true,"points":46}"
S.DeValve,"{"touchdowns":1,"yards":395,"IsQB":false,"points":45}"
J.Gresham,"{"touchdowns":2,"yards":322,"IsQB":false,"points":44}"
N.O'Leary,"{"touchdowns":2,"yards":322,"IsQB":false,"points":44}"
R.Higgins,"{"touchdowns":2,"yards":316,"IsQB":false,"points":43}"
Z.Jones,"{"touchdowns":2,"yards":316,"IsQB":false,"points":43}"
C.Coleman,"{"touchdowns":2,"yards":305,"IsQB":false,"points":42}"
